isbn,name,author,press,category,intro,location,cover
9787020002207,红楼梦,曹雪芹,人民文学出版社,I,中国古典四大名著之一,201,http://127.0.0.1:5000/static/covers/hlm.jpg
9787020094567,三国演义,罗贯中,人民文学出版社,I,中国古典四大名著之一,202,http://127.0.0.1:5000/static/covers/sgyy.jpg
9787020053023,水浒传,施耐庵,人民文学出版社,I,中国古典四大名著之一,203,http://127.0.0.1:5000/static/covers/shz.jpg
9787508095226,西游记,吴承恩,华夏出版社,I,中国古典四大名著之一,204,http://127.0.0.1:5000/static/covers/xyj.jpg
9787020133088,百年孤独,加西亚·马尔克斯,人民文学出版社,I,魔幻现实主义文学的代表作,301,http://127.0.0.1:5000/static/covers/bngd.jpg
9787532778815,追风筝的人,卡勒德·胡赛尼,上海译文出版社,I,关于爱与救赎的故事,302,http://127.0.0.1:5000/static/covers/zfzdr.jpg
9787302629603,财务会计学,王秀芬,清华大学出版社,F,高等教育本科财务会计课程教材,303,http://127.0.0.1:5000/static/covers/caiwukuaiji.jpg
9787565445064,审计学原理,叶忠明,东北财经大学出版社,F,审计学基础理论与实践教材,304,http://127.0.0.1:5000/static/covers/shenjixue.jpg
9787564588748,科技档案管理,朱兰兰,郑州大学出版社,G,科技档案管理专业核心教材,305,http://127.0.0.1:5000/static/covers/kejidangan.jpg
9787564597603,工程结构,薛茹,郑州大学出版社,T,土木工程专业工程结构课程教材,306,http://127.0.0.1:5000/static/covers/gongchengjiegou.jpg
9787111672715,电工电子技术基础,周鹏,机械工业出版社,T,高等院校电工电子技术基础教材,307,http://127.0.0.1:5000/static/covers/diangongdianzi.jpg
9787565825118,菜根谭,(明)洪应明等,汕头大学出版社,B,明代哲学经典著作,401,http://127.0.0.1:5000/static/covers/caigentan.jpg
9787565824784,哈佛情商智商财商课,连山,汕头大学出版社,B,情商与智商培养指南,402,http://127.0.0.1:5000/static/covers/haforu.jpg
9787313118899,为一件大事疯狂,(美)库克(Cooke.P.)等,上海交通大学出版社,B,人生目标实现方法论,403,http://127.0.0.1:5000/static/covers/weiyijianshi.jpg
978754475327,爱者之言：《墨子》选读,黄荣华,上海教育出版社,B,墨家思想研究文献,404,http://127.0.0.1:5000/static/covers/mozixuandu.jpg
978754475594,法者之言：《韩非子》选读,黄荣华,上海教育出版社,B,法家思想经典选读,405,http://127.0.0.1:5000/static/covers/hanfeizi.jpg
978754475792,君子之言：《荀子》选读,黄荣华,上海教育出版社,B,儒家思想研究文献,406,http://127.0.0.1:5000/static/covers/xunzixuandu.jpg
978754475471,仁者之言：《论语》选读,黄荣华,上海教育出版社,B,孔子及其弟子言行录,407,http://127.0.0.1:5000/static/covers/lunyu.jpg
978754475556,兴于诗：《诗经》选读,黄荣华,上海教育出版社,I,中国古代诗歌总集,408,http://127.0.0.1:5000/static/covers/shijing.jpg
978754475334,义者之言：《孟子》选读,黄荣华,上海教育出版社,B,孟子思想研究文献,409,http://127.0.0.1:5000/static/covers/mengzixuandu.jpg
978754475732,智者之言：《老子》选读,黄荣华,上海教育出版社,B,道家思想经典著作,410,http://127.0.0.1:5000/static/covers/laozixuandu.jpg
9787521302165,包法利夫人,(法)福楼拜等,外语教学与研究出版社,I,讲述一位小资产阶级妇女爱玛的悲剧故事,101,http://127.0.0.1:5000/static/covers/bflfr.jpg
9787513570794,青少年科学素养文库：比格尔号航海日记,(英)达尔文(Darwin)等,外语教学与研究出版社,I,记录达尔文随比格尔号环球航行的科学考察见闻,102,http://127.0.0.1:5000/static/covers/bgehhjy.jpg
9787513573032,莎士比亚全集：奥瑟罗,(英)莎士比亚(William Shakespeare)等,外语教学与研究出版社,I,莎士比亚经典悲剧，讲述嫉妒与背叛的故事,103,http://127.0.0.1:5000/static/covers/sbysqj_asal.jpg
9787513573049,莎士比亚全集：李尔王,(英)莎士比亚(William Shakespeare)等,外语教学与研究出版社,I,莎士比亚经典悲剧，展现权力与人性的冲突,104,http://127.0.0.1:5000/static/covers/sbysqj_lew.jpg
9787513578660,莎士比亚全集：麦克白,(英)莎士比亚(William Shakespeare)等,外语教学与研究出版社,I,莎士比亚经典悲剧，围绕野心与罪恶展开,105,http://127.0.0.1:5000/static/covers/sbysqj_mkb.jpg
9787513578752,莎士比亚全集：威尼斯商人,(英)莎士比亚(William Shakespeare)等,外语教学与研究出版社,I,莎士比亚经典喜剧，探讨仁爱、友谊与贪婪,106,http://127.0.0.1:5000/static/covers/sbysqj_wnssrs.jpg
9787513574921,自然丛书：行走在非洲丛林,(德)史怀哲等,外语教学与研究出版社,I,呈现非洲丛林的自然风貌与人文观察,107,http://127.0.0.1:5000/static/covers/zrcs_xzzfgzc.jpg
9787517032301,低到尘埃的美好,丁立梅,万卷出版公司,I,用细腻文字讲述生活中平凡又美好的瞬间,108,http://127.0.0.1:5000/static/covers/ddcademh.jpg
